VendorName,TotalPurchaseDollars,PurchaseContribution%
BROWN-FORMAN CORP,13238939.18,4.307609321
MARTIGNETTI COMPANIES,25502095.83,8.297724177
PERNOD RICARD USA,23851164.17,7.760553599
DIAGEO NORTH AMERICA INC,50097226.16,16.30034517
BACARDI USA INC,17432020.26,5.671929747
JIM BEAM BRANDS COMPANY,23494304.32,7.644440609
MAJESTIC FINE WINES,3505853.11,1.140714171
ULTRA BEVERAGE COMPANY LLP,11167081.61,3.63348031
"STOLI GROUP,(USA) LLC",3405741.88,1.108140559
PROXIMO SPIRITS INC.,7331096.34,2.385349649
MOET HENNESSY USA INC,9250580.36,3.009900238
CAMPARI AMERICA,4052963.68,1.318729838
SAZERAC CO INC,9714369.07,3.160805121
CONSTELLATION BRANDS INC,15273708.08,4.969670636
M S WALKER INC,9764312.6,3.177055457
SAZERAC NORTH AMERICA INC.,3504979.06,1.140429778
PALM BAY INTERNATIONAL INC,2546769.05,0.828652957
REMY COINTREAU USA INC,3130918.49,1.018720117
SIDNEY FRANK IMPORTING CO,1715908.88,0.558312489
E & J GALLO WINERY,12068539.22,3.926791364
WILLIAM GRANT & SONS INC,5876538.26,1.912073969
HEAVEN HILL DISTILLERIES,2644130.1,0.860331731
DISARONNO INTERNATIONAL LLC,1141947.85,0.371560375
EDRINGTON AMERICAS,1878614.18,0.611252597
CASTLE BRANDS CORP.,1626446.23,0.52920365
SOUTHERN WINE & SPIRITS NE,3430367.42,1.116153075
STE MICHELLE WINE ESTATES,3072111.15,0.999585726
TRINCHERO FAMILY ESTATES,2154699.95,0.701083785
MHW LTD,1600532.87,0.520772111
WINE GROUP INC,5203801.17,1.693182673
PERFECTA WINES,4619722.66,1.503138591
LUXCO INC,1862411.01,0.605980503
TREASURY WINE ESTATES,2884603.55,0.938575589
DIAGEO CHATEAU ESTATE WINES,1279691.73,0.41637868
SHAW ROSS INT L IMP LTD,596585,0.194113371
PINE STATE TRADING CO,2865890.04,0.932486696
PHILLIPS PRODUCTS CO.,329509.32,0.107213833
CALEDONIA SPIRITS INC,221250.02,0.07198905
STATE WINE & SPIRITS,1455770.99,0.47367033
KOBRAND CORPORATION,1741559.47,0.566658529
BANFI PRODUCTS CORP,1608143.72,0.523248486
VINEYARD BRANDS INC,1175591.29,0.382507082
DELICATO VINEYARDS INC,1494318.89,0.486212822
DUGGANS DISTILLED PRODUCTS,133190.34,0.043336701
Serralles Usa LLC,135637.15,0.04413283
SEA HAGG DISTILLERY LLC,114125.74,0.037133572
OLE SMOKY DISTILLERY LLC,387622.69,0.126122425
VRANKEN AMERICA,207317.5,0.067455767
KLIN SPIRITS LLC,103484.29,0.033671119
FABRIZIA SPIRITS LLC,169240,0.055066331
LATITUDE BEVERAGE COMPANY,309146.24,0.100588212
FREDERICK WILDMAN & SONS,602133.68,0.195918768
MCCORMICK DISTILLING CO,254630.94,0.08285034
CHARLES JACQUIN ET CIE INC,325229.02,0.105821134
WESTERN SPIRITS BEVERAGE CO,298416.86,0.097097149
MARSALLE COMPANY,164034.53,0.053372605
AMERICAN VINTAGE BEVERAGE,104435.68,0.033980676
MANGO BOTTLING INC,204510.38,0.066542402
SWEET BABY VINEYARD,140577.9,0.045740423
NICHE W & S,59780.97,0.019451186
LABELLE VYDS AND WINERY,135621.05,0.044127591
FLAG HILL WINERY & VINEYARD,300403.2,0.097743453
"PREMIUM PORT WINES, INC.",59760.74,0.019444603
Dunn Wine Brokers,58381.75,0.018995916
WEIN BAUER INC,42694.64,0.013891735
BULLY BOY DISTILLERS,53798.64,0.01750469
ATLANTIC IMPORTING COMPANY,41116.32,0.01337819
LAIRD & CO,96527.28,0.031407487
PREMIER DISTRIBUTORS,80378.96,0.02615324
Russian Standard Vodka,72927.58,0.023728753
VINILANDIA USA,501087.21,0.163040853
PARK STREET IMPORTS LLC,46238.95,0.015044962
TAKARA SAKE USA INC,45289.34,0.014735983
SEA BREEZE CELLARS LLC,78426.74,0.025518038
PSP WINES,117552.55,0.038248568
TAMWORTH DISTILLING,23863.84,0.007764678
ZORVINO VINEYARDS,86122.71,0.028022108
SOUTHERN GLAZERS W&S OF NE,27041.64,0.008798652
"HOOD RIVER DISTILLERS, Inc.",24035.96,0.007820681
CRUSH WINES,220914,0.071879717
POVERTY LANE ORCHARDS,45269.01,0.014729368
DJINN SPIRITS LLC,38735.33,0.012603477
MOONLIGHT MEADERY,71357.59,0.023217919
FORTUNE WINE BROKERS LLC,39273.75,0.012778665
VINEXTRA INC,88185.72,0.028693359
SURVILLE ENTERPRISES CORP,42954.48,0.01397628
JEWELL TOWNE VINEYARDS,54332.37,0.017678352
SWEETWATER FARM,19716.41,0.006415211
TALL SHIP DISTILLERY LLC,31160.5,0.010138823
SMOKY QUARTZ DISTILLERY LLC,26076.35,0.008484572
ALTAMAR BRANDS LLC,11706.2,0.003808896
CANDIA VINEYARDS,36588.01,0.011904795
TY KU LLC,13068.46,0.00425214
INCREDIBREW INC,24525.84,0.007980076
STELLAR IMPORTING CO LLC,23529.16,0.007655782
FULCHINO VINEYARD INC,11147.77,0.003627197
ALISA CARR BEVERAGES,25698.12,0.008361505
VINEDREA WINES LLC,4657.6,0.001515463
BLACK PRINCE DISTILLERY INC,5854.94,0.001905046
THE IMPORTED GRAPE LLC,12379.45,0.004027954
WALPOLE MTN VIEW WINERY,9292.31,0.003023478
HAUNTING WHISPER VYDS,5388.58,0.001753305
Circa Wines,21538.53,0.007008082
STAR INDUSTRIES INC.,2452.29,0.000797912
R.P.IMPORTS INC,18425.33,0.005995127
THE PIERPONT GROUP LLC,5249.87,0.001708172
BLACK ROCK SPIRITS LLC,1152.1,0.000374864
CENTEUR IMPORTS LLC,4292.83,0.001396776
AMERICAN SPIRITS EXCHANGE,934.08,0.000303926
BRONCO WINE COMPANY,1748.26,0.000568839
ADAMBA IMPORTS INTL INC,446.16,0.000145169
HIGHLAND WINE MERCHANTS LLC,775.44,0.000252308
MILTONS DISTRIBUTING CO,1432.32,0.00046604
"IRA GOLDMAN AND WILLIAMS, LLP",190.88,6.21074E-05
FANTASY FINE WINES CORP,128.64,4.18561E-05
UNCORKED,118.74,3.86349E-05
SILVER MOUNTAIN CIDERS,77.18,2.51124E-05
CAPSTONE INTERNATIONAL,54.64,1.77784E-05
FLAVOR ESSENCE INC,17,5.53136E-06
